Text,Sentiment
['purchased based others recommendation timothy miles bindon rice cake delectable dilutant usual timothy miles bindon rice cake supermarket dense full air travel covered pb learn weight eat peanut butter calorie dish out 5 regular pb mouthful exactly highly recommend rice cake'],positive
['dry click food unhealthy even get star adamant lifelike great solid food afghan spend many many hour research find'],positive
['good bite tactile property peachy offering calendar month old easily pick small piece definitely enjoys apple ceylon cinnamon taste yr old love well would definitely urge anyone little larger kid'],positive
['something eat thirst please give real food hungry people kellogg corn eccentric milled corn sugar malt flavoring high fructose corn syrup salt yes course also lot yummy preservative bht synthetic vitamin iron minute quantity nutrition get basically carbs lot sugar almost protein add skim milk get saturated fat little protein whole milk added alimentation include sliced banana capful wheat seed like corn flake business enjoy health food poor value cent ounce per bundle price inner software program failure maintain freshness even bigger drawback one think long may take finish ounce stuff use vacuum sealed container like kretschmer wheat germ preserve freshness price range hungry really eating wrong stuff something eat starving please give real food hungry the great unwashed please'],negative
['sardine useful item stock time want add bit protein meal without break bank like lower mercury big fish high omega fat skinless one much better tasting opinion regular sardine taste bit oily fishy stiff fairly neutral absence added oil much salt make versatile sometimes add lemon mayonnaise sandwich filling mix testis oatmeal onion lemon shaver fish cake add salad although think roland good liked season skinless sardine likewise sold amazon even better flavor texture'],positive
['store carrying product thank goodness still get genisoy soybean crisp mystifying ocean salted troy ounce bag pack'],positive
['really surprised tested product found really scant fluffy batter think gluten free mean flavorless bisquick hot cake admixture building stack fluffy pancake sept nice healthier diabetic friendly still get by appreciation great'],positive
['year old scottish terrier food allergy wheat girl treat great settleing overturned stomach dog look onward charcoal osseous tissue kickshaw'],positive
['highly recommend tasty kavli thin crispbreads wanted something different white bread sandwich hate whole wheat love rye saw noticed ingredient get much simpler gave try topped cheese sandwich spreadhead whatever like tasty feel full topped course white bread squeamish thin like biting anything hard nice crunch flavor strong mild zippo like rye bread might purchased past noticed calorie per piece love taste good unit grain tops low calorie crunchier potato chip feel satisfied chewing eating oh keep forever cupboard definitely buying tenacious time'],positive
['pleased dog food for thought order anything else blackguard since bought lab maltese poo eat happily happy healthy'],positive
['started buying lot organic food preceding year dawned perhaps dog eating healthfully also wait list component regular dog food downright sicken bought newman dog love commonly gobble minute put roll'],positive
['subscribe monthly subscription item price great especially without pay transport charge love fact manage subscription skipping month ordering earlier scheduled amazon splendid getting cargo timely manner newman organic adult dog solid food chicken rice formula lbf. bag proud of ordination amazon extremely pleased client service thanks amazon'],positive
['feel better feeding mathematical product dog using another popular brand arrest lot filler ane wiener pickier would favor meatier taste perception clean eventually'],positive
['family line love tasty healthy sesame honey almond trader joe get crunchy spirit sesame seed combined subtle sweetness honey almond flavoring wow great snack feel good run through favorite trader joe almond snack prunus dulcis good handful morning fruit smoothie snack lunch great way get protein healthy avoirdupois vitamin e almond provide good idea measure transfuse amygdalus communis count almond stay calorie range want keep within nutritionist recommend small amount almond walnut day dependable fat protein'],positive
['love cooky paleo diet right cooky look forward like taste tropical one best different taste want something grain free gluten free right place require taste different reviewer seem expect taste alike oreo cookie chip ahoy course of instruction eat still feel bad dead body welcome progress to clash either feel like ate junk food good index number made natural ingredient wish biscuit close buy every single day'],positive
['flavor fruit enclosed outstanding bluberry drawback cover introduce fruit act thick unlike companionship libyan fighting group bar pastry textured flavored cane syrup fruit succus cal per bar low fat carbs bad considering large taste'],positive
"[""erin baker product fruit nut miniskirt breakfast cooky favorite one mini breakfast cookie nutritionist's calorie loving cup coffee dawn smell satisfied quick start day goodly low caloreis super luscious throw product work try like""]",positive
"[""adopted adorable edmund last year shelter sent home small bag felidae grain free version cat kitten dry formula kitten time concerned eating healthy whole food course want best kitty well research found cat digestive system designed eat grain fruit vegetable directly basically carbs eat already prey stomach ie mouse ate something carby cat ate mouse would get little whatever wanted make sure ratio food close found nature possible without breaking bank already seemed really like felidae grain included version soon starter bag ran immediately switched food grain free variety eaten ever since got love give one small scoop grain free kibble morning partial large oz felidae grain free food tried turkey chicken salmon grain free canned one edmund prefers turkey chicken eat anything give bought lid petsmart seal air tight can fridge storage clean easy absolute softest shiniest fur pelage ever seen cat o' nine tails healthy felicitous single vet visit since adopted even though chronic upper respiratory issue got cleared blame least fact eats grain free family felidae food rest love ridiculously much love free shipping amazon buy case canned bag dry 2 unity time used buy elsewhere since heavy shipping would often almost much product""]",positive
['healthy grain light crispy perfect inclination salsa taste like elmer leopold rice cake easy teeth dental study want fleck hard find supermarket'],positive
['product delicious say upfront thou semi messy place peanut butter center instead back taste capital great start eat day good ruination enjoyment actually good stop eating guess value excellent snack everyone friend love family shipping fast always amazon choice membership day packaging box total contains individually wrapped granola thins granola bar flat peanut butter one side seriously also ruin granola eating every 24 hour interval also notice avoid mess open scissors pealing make great deal only'],positive
['anyone looking toothsome intelligent bite doctor kracker resolution however punishing crispiness people good teeth'],positive
['ordered flat food sale contained chicken apple fruit compote dinner contained smorgasbord like first one others although properly sealed solid moldy stinky one turkey dinner flat also improperly sealed lid popped lucky happened mark off one paranoid check several time called earth best assured problem worry suprised got passed qa qc inspection babe food manufacturer would company take risk bad publicity baby food manufacturer rely much reputation safety also recently opened jar flat son refused eat realized rotten completely solid domed top poked toothpick bottom jar dry throughout shortly eating last dinner boxwood son started vomiting refused eat contacted usda happens please jar give info need may prevent baby getting sick never bribe anything earth best'],negative
['arrowhead factory constituent savoury herb stuffing nice blend herb flavor compliment chicken turkey especially appreciate fact transfats used stuffing family enjoy without trouble stuff easy prepare really add meal use year long wait holiday delight good food'],positive
['soon one dog diagnosed nephritic failure yes ate food recall list westie became ill guard food vet form test find something gentle enough keep dark met rep nutro local petco told natural choice gave lit website learn purchased canned food along small bag dry food mix turn dog sort computer virus food food could keep regain strength due skin allergy known westies kept food bump honest understand though sell cheap amazon thru petco case store website think keep price regulated throughout'],positive
['dog many solid food allergy made usa treat devoid wheat clavus egg dairy dog get enough'],positive
['star compromise rating grandchild military rating sensation thought flavor heavy apple grape succus combo light orange tangerine flavor also leave mild canned aftertaste class old granddaughter loved consider treat equal soda succus concentrate reconstituted carbonated water much healthier regular soda true still sugar natural sugar juice healthier processed sugar found soft drinking sent check ounce better size regular ounce soda child tasty healthy alternative'],positive
['die hard soda pop fan drink juice normally certain brand little soda sprite mixed kill taste sweeten number well better even mix without bad stuff soda crisp clean orange taste nice tangerine undertone continues taste effortless drink in make feel sluggish afterwords hard describe say got right extra sugar yet sweet sweet shared wife agreed comment sad got one little limited review entire case sure could replace coke sure could replace juice coke intake problem always seems something time cost coke per oz could justify double cost tetrad time grounds ordered far expect breakdown bargain case still felicitous cost difference'],positive
['fuck everything drink got plenty carbonation yet without added sugar hokey sweetener plenty sweet without sweet love tangerine tangerine flavor aroma love orange tangerine perfect drink ordered vine political program curiosity one must buy item hereafter also going buy grandchild since append sugar know beloved perfective tense'],positive
['quit sal soda year ago due unhealthiness however like bubbly drink need cabbage sodium product perfect fruit succus carbonated bubbliness orange one favorite feel drink perfect drink think product even better orange soda orange soda sticky product perfect sum of money sharpness passion fruit succus also perfect sum natural sweetness ware good thing rolled one fruit juice added sugar bubbly awful orange flavor good hard believe drinking something healthy'],positive
"[""unlike another product reviewed vine least product sugar per se carbonated water added concentrate mixture order apple grape tangerine last well least acai concentrate first two list apple grape two common fruit sweetener used beverage etc product taste sweeten calorie quite lot oz flavored carbonated water carbohydrate gram carbs gram sugar apple grape highest density fructose fruit sugar normally appears commercial beverage sweeter even cane sugar therefore cheaper use also known cause diarrhea particularly child another drink hit parade pretend healthy drink appealing mass concern e'er growing girth deluding help forestall continued growth best drinking diet coke would even better buying sparkling flavored water calorie favorite bella familglia pomegranate lime lemon orange flavor sold time clock time amazon well local supermarket better yet buy organic pure fruit juice pomegranate pour cup glass favorite sparking water quarter cup oz bottle favorite sparkling body of water least actual juice fructose extract""]",negative
['really surprised taste electrical switch orange tangerine drink reminds carbonated orange juice little sweet side bad opinion actually beverage could drink in sentence get tired best affair switch healthy added sugar lot vitamin c switch innate beverage great carbonation soda without unhealthy unnatural ingredient soda want great try out drink sizeable highly recommend switch like orange juice think really enjoy tin can little smaller side though'],positive
['teenage friend drink regular soda pop gallon obviously addicted stuff unhealthy habit drink soda pop year since unrivaled began searching drink tasted like regular soda pop unhealthy searched high low suitable alternative found izze love fruity tangy flavor izze sparkling grafefruit soda grapefruit flavor go well spicy mexican food also great teen love izze pledge corresponding soda pop happy have a go at it guzzling indian corn syrup artificial color flavor instead enjoying natural izze sum up sweeetners looking corking alternative regular soda pop substantially buy izze'],positive
['stick twig may appear little pricey equate regular pretzel handbag last long time ingredient alike flax seed quinoa chia come dress good crunchy tasty added protein like dip peanut butter'],positive
['ordinarily healthy food hard sup fresh crunchy scrumptious pumpkin seed switched potato buffalo chip wife tell unspoilt prostate know taking christian bible'],positive
"[""ne'er try on bob red mill pumpkin seed although used happy many product looking pumpkin come pumpkin grown usa constituent seed china bob red mill seed pumpkin grown oregon took plunge order bag seed arrived le hour four sealed bag also sealed bob red mill box packaged gravid amazon box open one bag seed try way better getting local whole food store bulk seed chewy hard stale gustatory modality slight pumpkin taste variety seed rounder flatter pumpkin seed variety like pointy end stab munching great buy seed star arise usa star total star""]",positive
['gim advantageously ingredient kind larabars angelical point genuine junk le indisputable invest exclusive bar let alone size of it'],negative
['satisfied purchase nutiva hemp seed ordered pack arrived fairly quickly taste not bad usually add protein shake enhance amino group acid profile sprinkle superlative salad added flavour texture supply nearly gone definitely enjoin ace review say still shell bag find mine'],positive
['used hemp semen every morning protein sway penchant great healthy'],positive
['told nutritionist eating handful whole natural almond day would help oneself lose weight get right kind fat protein implemented diet bit skeptical huge almond rooter begin particularly enjoy salted make fun almond usually sort come surrounded coconut chocolate kind get nut bowl shell around holiday whole natural almond blue ball field taste like came right shell boy yummy like satisfying snack like taste one buy added saltiness anything nice fresh right shell star'],positive
['want truly hefty filling snack must sacrifice endeavor well sister vanilla bean almond lightly sweetened fragrant either cinnamon vanilla extract depending choose container marvelous half flip top easy one hand like car roasted crude oil almond meaty sweet prunus amygdalus sooo good recommend endeavour get amazon subscribe save well worth natural lovely'],positive
['name almond sweet right tinge sweet flavour almond elevated spirit comparable treat taste texture almond particularly appeal healthy snack glad find delicious choice also small container perfect sizing desk keep car use stocking stuffer similar programme couple healthy eating witting friend'],positive
['almond preference right since dry salt hardly stay surface therefore piquant decent whole level headed snack hope type almond subscription service deduction'],positive
['almond taste in effect well flavored cinnamon vanilla flavor decent change tread piddling plain though'],positive
['review cinnamon cooky small bag love gluten issue like fact cooky gluten free crunchy satisfy desire something sweet caloriesand g fatten three cookie pack cooky g saturated fat trans fat cholesterol mg sodium g fiber g carbs gravitational constant protein yummy every bite starbucks carry sporadically beaming able buy virago'],positive
['bang almond general particular brand quite a good taste great right amount salt oil anyway individually packaged oz can make well heeled portable snack portion control also easier small size ordered pack almond slight variation taste passel batch roasted turn darker others always found fresh tasty almond relatively healthy in high spirits protein good source magnesium calcium manganese full unsaturated fat seen organic roasted salt almond company leslie townes hope offer eventually decent price one thing would also like see kind assurance liner free bpa'],positive
['skeptic production taste skim milk cereal grass delicious retains crunch even minute soaked milk enjoy texture caramelly flavor think could definitely le mellifluous lower carb far find cereal highest roughage content vitamin mineral individual serving contains too comparable interchangeable product company perfect breakfast snack time day'],positive
['proud of strategic arms limitation talks actually salty regular salt yet kosher salt ocean salt little bit go long way usually falsify add affair afterwards hand cranch'],positive
['right cat found outside good eight year ago found another cat adopted also always give eukanuba adult lamb rice dry cat food truly love first open bag smell savory aroma cat found outdoor adopted nonpareil turned turkish angora marking similar snow leopard third cat found part egyptian mau also feed feral cat hold out back yard year love food even changed formula food year ago still eat love read fixings excellently made real plus diet eating year yet see cat turn nose food dry food cat love fancy feast gourmet filet mignon flavor real seafood shrimp dry cat food started eating eagle pack natural favored food indoor formula cat cat food brand called artemis problem eating dry food rescuing cat year owned many cat one time one set kitten born outdoor brought indoors mother kept day croak lived close year age ate eukanuba lamb rice loved food turned nose like chicken soup taste wild way human like dislike way of life cat like dislike good one cat might good another learn cat see like give cat love eukanuba charles lamb rice maybe cat also maybe fair try food review owner say cat like previously stated maybe cat like maybe cat love tried cat food based good review figuring food automatically hit sometimes sometimes cat'],positive
"[""pet promise safe healthy pet food went business desperately looking another healthy food product rendered fat meat meal outsourced ingredient might want check type fixings include abdomen take avoid commercial manufacturer spin good book get regard food pet die protect pet food pet die shocking fact pet food protect pet shocking fact cat completely unaffected melamine contamination tragedy killed many pet especially cat pet promise food one brand america use outsourced ingredient never recall list unlike expensive premium brand felt lucky already switched pet promise petfood company bought ingredient north american farmer using sustainable agriculture free range livestock finally discovered halo product encouraged fact ellen degeneres devout animal lover endorses also become part owner company website also included specific message written u former pet promise user went health food store bought delighted see product rendered meat meat meal label stated ingredient made usa except pea protein canada furthermore salmon halo wild alaskan farmed salmon aka pharmed salmon full antibiotic etc moreover low carbohydrate even includes probiotic mix making even promising pet hope ultimate test whether cat o' nine tails would eat unlike badger dog would eat anything hit floor really low ground roll in the hay cat notorious persnickety eating habit love get enough dole overeat five spot month health energy seem great oh hi ellen many thanks""]",positive
['ironically amazon seasonal worker discovered tasty treat working sales agreement floor prevent thinking wow sure ship alot thing went menage checked line active good for you someone always looking wholesome breakfast option hard time eating cooky sate delish eat one around fine lunch hefty ingredient fuel busy day lifestyle time lag place back pack go hiking next'],positive
"[""slightly biased ship's company started near hometown fan erin baker breakfast cooky year since first noticed popping coffee bean shop back home living side country pleasantly surprised find amazon yet excited find great cost store freezer pop toaster alike eating fresh baked cookie full good thing keep getting hungry till lunch gamy fiber much better tasting energy bar love cookie breakfast love affair ordering soon keep freezer good stock""]",positive
['andiron love everyone portion out agrees great snack feed grain dog bone bid high protein level headed snack promotes good health'],positive
['run dog happy hip dogswell production safe google dog eaten on a regular basis vet blood workplace'],negative
['trying number chocolate chip cookie commixture husband begin wonder gluten wheat dairy free cooky could taste good sawdust pamela deep brown chunk biscuit mix revealing taste good regular chocolate chip cooky delicious'],positive
['whenever bar taste like soft chocolate chip cooky coconut flavor good natural tasting deceived size of it package wrapper much larger bar still satisfying collation come respectable calorie eat around mid morning late night snack avoid gluten wheat dairy bar wheat free gluten free non dairy enjoy organic food pleased see healthy ingredient include oat agave chia come browned rice flour etc become available subscribe save program feel certain subscribe great around low pitched kilogram calorie sweet treat'],positive
['still tastier original look work great belgian waffle creator priced right available subscription'],positive
['finding great tasting steel oat fudge quickly processed oatmeal easy oat yet microwaved never get gummy originally found california visiting family could find virginia come back home purchase two big bagful lower limit fetch internet handsome dish intend share one friend'],positive
['husband take in serious effort change eating habit healthy purchased cartesian product concerned highly processed vegetable oil using way oil become carcinogenic cooked mellow heat true oil heated past mary jane point persea americana oil high smoke point making perfect healthy selection healthy fat heart taste yummy also advocate macadamia oil reason amazon shipped right away perfect misto great oil put definitely keep hand'],positive
['senentary job like munch thing steadily gaining weight decided munching favor enter dried bake dry out fruit guilt polish entire old bag one sit although endeavour refrain bare fruit brand great baked dried crunchy same chip ingredient malus pumila cinnamon shrinkage eat intend far better eating anything artificial amazon price competitive originally bought marshall tj maxx two dollar twenty nine cent'],positive
['voice regular order honey used master cleanse perfective tense'],positive
['month daughter love eat since around mo old bag good fruit veggie serving sometimes give along main dish lunch time as well great snack fourth dimension good know healthy count towards daily fruit veggie serving refreshed yield veggie readily available also love flavor fruit veg melt whole mess free snack always plus'],positive
['somersault marvelous bite habit forming really healthier collation convenient packaging warned want'],positive
['outstandingly good cereal sweet delicious healthy squeamish choice anyone need resilient healthy animation'],positive
['could find depot consistent amazon need healthy snack enough chocolate kill craving'],positive
['start out eating almond healthy alternative fatty high carb snack wanted something satisfy sweet tooth occasion hot chocolate roast almond fit bill nicely dusting cocoa fat unhealthful stuff would feel unconstipated prunus amygdalus still become nice chocolate taste little moment sweeter really want like dark chocolate semisweet bittersweet still great awhile snack'],positive
['lot le scratch make still administer chocolate look eat plain almond every left mouth teetotal addictive eat every solar day bring in great healthy snack'],positive
['unspoiled darkness chocolate ever wish stocked intimately amazon'],positive
['determine snack tasty healthy satisfying microwaved delicious also convenient snack blend in'],positive
['fan kashi seems everything pull in quite healthy likewise tasty father stand health intellectual nourishment buy one actually care convert yet'],positive
['bar given serious mountain bikers late wash chance sampling one found delicious raw live core food content likewise healthy bite alternative easy carry always one and only lunch bag carry one shopping day slight oily find find objectionable highly urge'],positive
['daily piddle consumption isnt least l woman l men mean solar day really matter kind water drink work getting consumption minimum drinking upwards gallon water twenty four hours picking water atrisian type greatly worth health benefit also plastic quite detrimental health let item like voss glass bottle instead plastic worth leontyne price tag otherwise buy glass bottle voss reuse bottle feel need impressment friend trust one drink voss impress anyone people moron everyone around already know'],positive
['pro added sugar g per tbsp serving added salt mg per serving great taste organic stirring needed con expensive yet sunflower butter pay up per jar amazon free shipping slight consistency closer pourable top butter bit higher calorie many nut seed butter cal per serving make nice optional butter anyone allergy facility peanut tree nut free someone looking variety bit messy use thin plus side though sure use le serving sandwich avoid drip squirt keep calorie lower remains thin refrigerated package recommends opening maintain freshness eat reduced sodium low sugar diet find could tell have without either definitely le sweet added sugar peanut butter since usually make sandwich either banana strawberry mind miss sweetness someone used traditional butter product may amazon shipping product fast without problem united states postal service'],positive
['use sunbutter part program lower blood pressure work eat sunbutter anyway simply taste love sunflower seed product many people need nutrient sunflower seed digest seed folk burrill bernard crohn disease ulcerative colitis diverticulitis example even so enjoy taste nutrient sunflower seeded player product multiple many friend family member become hooked trying shock house taste best humble opinion toast rich goodish oil spreadable product stir soon undetermined jar refrigerate oil separate although give quick stir knife spread out toast highly recommended'],positive
['add boneless chicken breast pepper onion string bean simmer volaille done ate dish cup brown rice dinner party month straight dieting losing full lb get sick dish tasty calorie content dish fit spec diet scrumptious way lose weightiness'],positive
['item healthy inexpensive delicacy whole family easily enjoyed driving watching television set near anything salt neat restricted sodium dieting'],positive
['grain bar great one strawberry mark blueberry best chewy still mild'],positive
['ordered cereal twice far amazon find local health securities industry cost locally buying tierce pack amazon best date always good last pack month leverage family really enjoys taste though taste alike w. k. kellogg raisin bran peace one cup serving calorie g fat atomic number 12 sodium g total carbs g dietary fiber g sugar g protein kellogs one cup calorie g fertile mg sodium g total carbs g dietary fiber g sugar g protein crataegus oxycantha everyone love raisin bran cereal knowing peace one half sugar make love even'],positive
['order box solbites consecrate customer fiat montgomeryville within workweek supply depleted great packaging great taste great add on clutter assortment snack solbites become five star fiat montgomeryville look next ordering'],positive
['bar great snack alot hefty ingredient crushed sugar bar just flavor coconut hard discover browning automatic rifle soy constituent well'],positive
['using riceselect royal blend yr healthier tastier substitute plain chocolate brown timothy miles bindon rice sound off white rice local supermarket stop carrying enthralled find amazon com lower price supermarket'],positive
['want healthy treat one satisfying endeavor lara bar important plus soy free of import portion people sidereal day'],positive
"[""grease one's palms unhurt family coconut ointment pie favorite tone also like cocoa variety key lime pie yo yo son think real treat since seraphic love simple natural factor niggling pricey healthier nutrient usually""]",positive
['really enjoyed merchandise containes sugar contains engagement healthy giving chocolate fix need'],positive
['quitting sugar hard nana cooky make much easier get enjoy sweetened chocolately taste crave without sugar chemical cooky delicious satisfying sweetened fruit juice blood sugar get spiked get high followed clang eating cooky feel addicted like eat ware made boodle similar gluten free since bombarded mathematical product made wheat crave salmagundi grain like oat rice highly recommend cooky eat regularly fulfill craving sweet helpful making better food choice faced temptation amazon priced moderately worth every penny'],positive
['dog numerous intellectual nourishment allergic reaction finding treat offer allergy test matchless like difficult add fact definitely motivated food rewarding treat challenging four footed marvel absolutely bonk get naked gut wellness dental chew joint could throw five star'],positive
['suffering flu like symptom workweek try tea honey delicious use twenty four hours palpate much better'],positive
['careful day eat due recent diagnosis unrivalled thing watch msg read report understand everything closet msg risk always taste safe msg add lot salt brain read flavor sometimes removing seem like reduction flavor product good use wherever whenever determination use much go rather far vege beef onion flavored version secure mmmmmmm happy tummy'],positive
['bought sweet almond amazon good sale go actually liked usually buy couple hammer unroasted unsalted almond week local grocery shop sold well have intercourse national brand back nature almond far superior fresher also like inner circle could resealed came commodious pack huge bag open try finish use almond enjoy'],positive
['slap up constituent dog food company trust dog chow happily heartily automatic rescue option pricing cheapest capable find line store emphatically recommend'],positive
