,Sentiment,Time,Text,Predicted Topic
17,positive,24/8/21,"['picked', 'bag', 'local', 'heb', 'help', 'consume', 'half', 'bag', 'day', 'entire', 'stock', 'week', 'chip', 'bold', 'flavor', 'deliver', 'tried', 'garlic', 'parmessan', 'chip', 'thing', 'thought', 'strong', 'delicious', 'parmessan', 'shortly', 'followed', 'garlic', 'flavor', 'combined', 'sharp', 'crunch', 'chip', 'afraid', 'buy', 'pack', 'know', 'help', 'thing', 'pretty', 'healthy', 'mean', 'potato', 'crisp', 'entirely', 'knock', 'going', 'town', 'avoid', 'potato', 'chip', 'aisle', 'need', 'lay', 'low', 'snack', 'food']","[('Coffee and tea flavor', -0.16), ('Healthy and allergy-friendly snacks', 0.08), ('Coffee and its complements', -0.037), ('Locations and prices', -0.004), ('Snack/Protein Bars', 0.095), ('Flavoured cereal/nut/fruits bars', -0.286), ('Chocolate flavoured consumables and flavoured drinks', -0.011)]"
18,positive,21/7/21,"['love', 'chip', 'great', 'healthy', 'snack', 'stuck', 'work', 'vending', 'machine', 'sustenance']","[('Coffee and tea flavor', -0.108), ('Healthy and allergy-friendly snacks', 0.076), ('Coffee and its complements', -0.037), ('Locations and prices', -0.032), ('Snack/Protein Bars', 0.139), ('Flavoured cereal/nut/fruits bars', -0.12), ('Chocolate flavoured consumables and flavoured drinks', -0.018)]"
19,positive,25/6/21,"['sun', 'chip', 'ok', 'substitute', 'usual', 'potato', 'corn', 'chip', 'cooked', 'oil', 'salted', 'nearly', 'thought', 'added', 'heart', 'healthy', 'diet', 'regime', 'good', 'style', 'texture', 'sheet', 'plywood']","[('Coffee and tea flavor', -0.093), ('Healthy and allergy-friendly snacks', 0.074), ('Coffee and its complements', -0.043), ('Locations and prices', -0.028), ('Snack/Protein Bars', 0.052), ('Flavoured cereal/nut/fruits bars', -0.233), ('Chocolate flavoured consumables and flavoured drinks', -0.007)]"
20,positive,13/9/21,"['chip', 'good', 'fun', 'getting', 'variety', 'pack', 'good', 'regular', 'chip', 'probably', 'nearly', 'fattening', 'bad', 'regular', 'chip', 'given', 'healthier', 'version', 'want', 'chip', 'highly', 'recommend']","[('Coffee and tea flavor', -0.152), ('Healthy and allergy-friendly snacks', 0.087), ('Coffee and its complements', -0.043), ('Locations and prices', -0.033), ('Snack/Protein Bars', 0.116), ('Flavoured cereal/nut/fruits bars', -0.433), ('Chocolate flavoured consumables and flavoured drinks', 0.012)]"
21,positive,18/6/21,"['tried', 'bbq', 'popchips', 'time', 'loved', 'got', 'value', 'pack', 'try', 'flavor', 'loved', 'salt', 'pepper', 'chip', 'great', 'good', 'healthy', 'snack', 'giving', 'taste', 'glad', 'discovered', 'salt', 'vinegar', 'favorite']","[('Coffee and tea flavor', -0.204), ('Healthy and allergy-friendly snacks', 0.095), ('Coffee and its complements', -0.049), ('Locations and prices', -0.016), ('Snack/Protein Bars', 0.077), ('Flavoured cereal/nut/fruits bars', -0.236), ('Chocolate flavoured consumables and flavoured drinks', 0.017)]"
22,positive,7/7/21,"['work', 'family', 'time', 'sure', 'disciplined', 'good', 'use', 'good', 'technique', 'teaching', 'dog', 'appear', 'good', 'tiny', 'healthy', 'reward', 'right', 'visualize', 'reward', 'following', 'command', 'training', 'tool', 'surprised', 'tiny', 'treat', 'taste', 'good', 'miniscule', 'fraction', 'longer', 'small', 'paperclip', 'half', 'wide', 'maybe', 'dog', 'little', 'annoyed', 'took', 'gave', 'yesterday', 'today', 'came', 'excited', 'treat', 'looked', 'got', 'kidding', 'took', 'ate', 'little', 'later', 'offered', 'floor', 'looked', 'hopefully', 'stash', 'larger', 'treat', 'went', 'took', 'think', 'good', 'reward', 'obeying', 'command', 'treat', 'stretching', 'good', 'dog', 'rarely', 'get', 'treat', 'overweight', 'eat', 'entire', 'refrigerator', 'food', 'allowed', 'treat', 'large', 'treat', 'second', 'probably', 'inhale', 'second', 'like', 'fact', 'added', 'salt', 'refined', 'sugar', 'artificial', 'flavor', 'color', 'preservative', 'say', 'treat', 'baked', 'natural', 'peanut', 'butter']","[('Coffee and tea flavor', -0.159), ('Healthy and allergy-friendly snacks', 0.081), ('Coffee and its complements', -0.046), ('Locations and prices', 0.05), ('Snack/Protein Bars', -0.039), ('Flavoured cereal/nut/fruits bars', -0.008), ('Chocolate flavoured consumables and flavoured drinks', -0.214)]"
23,positive,15/7/21,"['mom', 'kid', 'older', 'hard', 'time', 'finding', 'snack', 'sodium', 'came', 'happyfamily', 'introduced', 'happymunchies', 'thankful', 'snack', 'low', 'sodium', 'vegetable', 'organic', 'know', 'free', 'pesticide', 'residue', 'gmos']","[('Coffee and tea flavor', -0.084), ('Healthy and allergy-friendly snacks', 0.066), ('Coffee and its complements', -0.037), ('Locations and prices', -0.017), ('Snack/Protein Bars', 0.067), ('Flavoured cereal/nut/fruits bars', 0.02), ('Chocolate flavoured consumables and flavoured drinks', -0.016)]"
24,positive,11/7/21,"['love', 'baby', 'food', 'thing', 'little', 'pouch', 'sooooo', 'easier', 'feed', 'baby', 'toddler', 'son', 'love', 'sucking', 'fruit', 'pleased', 'organic', 'healthy', 'added', 'fruit', 'smaller', 'one', 'good', 'let', 'handle', 'love', 'squeeze', 'get', 'thing', 'older', 'one', 'feed', 'like', 'size', 'bigger', 'plum', 'organic', 'flavor', 'assures', 'eat', 'sitting', 'having', 'save', 'later', 'size', 'airplane', 'having', 'tested', 'explosive', 'case', 'bigger', 'pouch', 'like', 'bpa', 'free', 'little', 'like', 'ordering', 'bulk', 'subscribe', 'save', 'make', 'cheaper', 'store']","[('Coffee and tea flavor', -0.184), ('Healthy and allergy-friendly snacks', 0.077), ('Coffee and its complements', -0.047), ('Locations and prices', 0.042), ('Snack/Protein Bars', -0.012), ('Flavoured cereal/nut/fruits bars', 0.021), ('Chocolate flavoured consumables and flavoured drinks', -0.055)]"
25,positive,7/10/21,"['love', 'vitamuffins', 'supermarket', 'sell', 'box', 'muffin', 'instead', 'bought', 'mix', 'box', 'box', 'make', 'muffin', 'instead', 'muffin', 'mix', 'requires', 'water', 'egg', 'work', 'cent', 'muffin', 'easy', 'great', 'deal']","[('Coffee and tea flavor', -0.111), ('Healthy and allergy-friendly snacks', 0.032), ('Coffee and its complements', -0.017), ('Locations and prices', 0.026), ('Snack/Protein Bars', -0.027), ('Flavoured cereal/nut/fruits bars', 0.014), ('Chocolate flavoured consumables and flavoured drinks', 0.069)]"
26,positive,6/7/21,"['generally', 'like', 'vitalicious', 'product', 'corn', 'muffin', 'calorie', 'bad', 'expecting', 'like', 'laden', 'junk', 'local', 'bakery', 'sell', 'look', 'like', 'healthy', 'makeover', 'cut', 'bad', 'calorie', 'chocolate', 'indulgence', 'good', 'bland', 'breakfast', 'treat', 'especially', 'baked', 'kid', 'happy', 'extra', 'snack', 'approvei', 'send', 'school', 'midmorning', 'snack', 'glad', 'fuel', 'vitamin']","[('Coffee and tea flavor', -0.148), ('Healthy and allergy-friendly snacks', 0.084), ('Coffee and its complements', -0.036), ('Locations and prices', -0.055), ('Snack/Protein Bars', 0.046), ('Flavoured cereal/nut/fruits bars', 0.013), ('Chocolate flavoured consumables and flavoured drinks', -0.029)]"
27,positive,18/6/21,"['dog', 'prone', 'ear', 'infection', 'lot', 'paw', 'chewing', 'vet', 'recommended', 'changing', 'diet', 'symptom', 'food', 'allergy', 'specifically', 'recommended', 'salmon', 'rice', 'formula', 'unfortunately', 'dog', 'hated', 'salmon', 'rice', 'smelt', 'extremely', 'fishy', 'tried', 'lamb', 'rice', 'formula', 'like', 'better', 'heard', 'numerous', 'good', 'thing', 'wellness', 'dog', 'trainer', 'pet', 'owner', 'pet', 'store', 'employee', 'dog', 'adjusting', 'new', 'food', 'tell', 'consider', 'tasty', 'choice', 'probably', 'artificial', 'flavoring', 'eat', 'healthier', 'sacrifice', 'little', 'taste']","[('Coffee and tea flavor', -0.127), ('Healthy and allergy-friendly snacks', 0.077), ('Coffee and its complements', -0.047), ('Locations and prices', 0.1), ('Snack/Protein Bars', -0.049), ('Flavoured cereal/nut/fruits bars', 0.007), ('Chocolate flavoured consumables and flavoured drinks', -0.243)]"
28,positive,7/7/21,"['length', 'minsthese', 'cooky', 'great', 'watch', 'video', 'great']","[('Coffee and tea flavor', -0.051), ('Healthy and allergy-friendly snacks', 0.026), ('Coffee and its complements', -0.01), ('Locations and prices', 0.001), ('Snack/Protein Bars', 0.041), ('Flavoured cereal/nut/fruits bars', 0.011), ('Chocolate flavoured consumables and flavoured drinks', 0.021)]"
29,positive,27/7/21,"['actually', 'strongly', 'recommends', 'meat', 'add', 'mix', 'raw', 'cooked', 'choose', 'dog', 'arrived', 'coccidia', 'giardia', 'puppy', 'veterinary', 'mismanagement', 'completely', 'healthy', 'year', 'life', 'watching', 'sicker', 'aggressive', 'course', 'antibiotic', 'prednisone', 'inflammatory', 'bowel', 'disease', 'took', 'holistic', 'veterinarian', 'treatment', 'homemade', 'diet', 'meat', 'plus', 'medication', 'extremely', 'pleased', 'report', 'gi', 'episode', 'month', 'reached', 'point', 'consider', 'healthy', 'coat', 'glossy', 'fluffier', 'finally', 'good', 'weight', 'photo', 'dramatic', 'credit', 'extra', 'time', 'prepare', 'opposed', 'kibble', 'day', 'worth', 'time', 'take', 'minute', 'total', 'includes', 'time', 'meat', 'cooking', 'cleaning', 'completely', 'honest', 'thrilled', 'cooking', 'dog', 'thrilled', 'result', 'able', 'feed', 'raw', 'road', 'vet', 'give', 'ok', 'preparation', 'time']","[('Coffee and tea flavor', -0.102), ('Healthy and allergy-friendly snacks', 0.057), ('Coffee and its complements', -0.03), ('Locations and prices', 0.066), ('Snack/Protein Bars', -0.036), ('Flavoured cereal/nut/fruits bars', 0.005), ('Chocolate flavoured consumables and flavoured drinks', -0.112)]"
30,positive,13/7/21,"['routine', 'baking', 'ingredient', 'bread', 'sunflower', 'seed', 'organic', 'wheat', 'flour', 'smoothie', 'stir', 'fry', 'dishesanything', 'think', 'good', 'price', 'healthy', 'diet']","[('Coffee and tea flavor', -0.092), ('Healthy and allergy-friendly snacks', 0.058), ('Coffee and its complements', -0.028), ('Locations and prices', 0.024), ('Snack/Protein Bars', 0.01), ('Flavoured cereal/nut/fruits bars', 0.028), ('Chocolate flavoured consumables and flavoured drinks', 0.002)]"
31,positive,13/9/21,"['tryed', 'almond', 'crunch', 'delicious', 'healthy', 'snack', 'better', 'chip', 'try', 'agree']","[('Coffee and tea flavor', -0.118), ('Healthy and allergy-friendly snacks', 0.095), ('Coffee and its complements', -0.057), ('Locations and prices', -0.07), ('Snack/Protein Bars', 0.16), ('Flavoured cereal/nut/fruits bars', -0.144), ('Chocolate flavoured consumables and flavoured drinks', -0.018)]"
32,positive,7/9/21,"['use', 'powdered', 'tea', 'powder', 'fruit', 'smoothy', 'provides', 'health', 'benefit', 'green', 'tea', 'love', 'product', 'use', 'plain', 'lemon', 'ginger']","[('Coffee and tea flavor', -0.174), ('Healthy and allergy-friendly snacks', -0.263), ('Coffee and its complements', -0.191), ('Locations and prices', 0.015), ('Snack/Protein Bars', 0.019), ('Flavoured cereal/nut/fruits bars', 0.021), ('Chocolate flavoured consumables and flavoured drinks', -0.009)]"
33,positive,17/4/21,"['green', 'tea', 'good', 'loaded', 'antioxidant', 'boost', 'metabolism', 'yadda', 'yadda', 'yadda', 'warmed', 'taste', 'lemon', 'ginger', 'nice', 'flavor', 'great', 'add', 'packet', 'water', 'bottle', 'bother', 'brewing']","[('Coffee and tea flavor', -0.087), ('Healthy and allergy-friendly snacks', -0.087), ('Coffee and its complements', -0.053), ('Locations and prices', -0.025), ('Snack/Protein Bars', -0.035), ('Flavoured cereal/nut/fruits bars', -0.001), ('Chocolate flavoured consumables and flavoured drinks', 0.016)]"
34,positive,10/3/21,"['eat', 'lot', 'cereal', 'includes', 'lot', 'kind', 'oatmeal', 'mini', 'frosted', 'shredded', 'wheat', 'raisin', 'bran', 'usually', 'eat', 'needed', 'lose', 'lb', 'instance', 'tried', 'healthier', 'option', 'tried', 'kashi', 'cereal', 'appetizing', 'plain', 'cardboard', 'taste', 'tried', 'grape', 'nut', 'like', 'horrendous', 'yeast', 'flavored', 'cat', 'food', 'closer', 'kitty', 'litter', 'texture', 'brings', 'fiberplus', 'berry', 'yogurt', 'crunch', 'certainly', 'better', 'tasting', 'cereal', 'eaten', 'like', 'decent', 'health', 'bar', 'broken', 'apart', 'cereal', 'cluster', 'yogurt', 'help', 'plain', 'cereal', 'decent', 'yes', 'sugar', 'serving', 'fiber', 'calorie', 'part', 'especially', 'compare', 'raisin', 'bran', 'frosted', 'shredded', 'wheat', 'typically', 'higher', 'sugar', 'calorie', 'lower', 'dietary', 'fiber', 'antioxidant', 'nice', 'bonus', 'line', 'add', 'grocery', 'list', 'sale', 'price', 'right']","[('Coffee and tea flavor', -0.171), ('Healthy and allergy-friendly snacks', 0.085), ('Coffee and its complements', -0.045), ('Locations and prices', -0.073), ('Snack/Protein Bars', 0.06), ('Flavoured cereal/nut/fruits bars', 0.071), ('Chocolate flavoured consumables and flavoured drinks', -0.04)]"
35,positive,17/4/21,"['know', 'science', 'diet', 'referred', 'junk', 'food', 'higher', 'quality', 'food', 'market', 'lot', 'new', 'organic', 'natural', 'cat', 'food', 'healthy', 'pet', 'cracked', 'regardless', 'veterinarian', 'wanted', 'year', 'old', 'cat', 'prescription', 'food', 'high', 'count', 'crystal', 'urine', 'comparison', 'science', 'diet', 'mature', 'adult', 'active', 'longevity', 'closest', 'prescription', 'food', 'cat', 'younger', 'older', 'food', 'enjoy', 'graze', 'day', 'indoor', 'cat', 'try', 'best', 'overfeed', 'younger', 'cat', 'issue', 'urine', 'went', 'food', 'happy']","[('Coffee and tea flavor', -0.116), ('Healthy and allergy-friendly snacks', 0.079), ('Coffee and its complements', -0.049), ('Locations and prices', 0.11), ('Snack/Protein Bars', -0.057), ('Flavoured cereal/nut/fruits bars', 0.016), ('Chocolate flavoured consumables and flavoured drinks', -0.234)]"
36,positive,21/1/21,"['chocolate', 'sandwich', 'creme', 'cooky', 'whonu', 'bit', 'delicious', 'similar', 'brand', 'healthier', 'true', 'sugar', 'fat', 'carb', 'amount', 'brand', 'cooky', 'noted', 'fiber', 'noticeably', 'vitamin', 'mineral', 'brand', 'good', 'snack', 'hard', 'stop', 'serving', 'size', 'cooky', 'guess', 'allowed', 'occasional', 'guilty', 'pleasure', 'write', 'bit', 'expensive', 'website', 'try', 'looking', 'cooky', 'want', 'convenience', 'having', 'shipped', 'awesome', 'chocolate', 'sandwich', 'creme', 'cooky', 'whonu', 'best', 'definitely', 'recommend', 'excellent', 'healthier', 'alternative', 'major', 'brand', 'type', 'love', 'enjoy']","[('Coffee and tea flavor', -0.167), ('Healthy and allergy-friendly snacks', 0.083), ('Coffee and its complements', -0.023), ('Locations and prices', -0.077), ('Snack/Protein Bars', 0.065), ('Flavoured cereal/nut/fruits bars', -0.017), ('Chocolate flavoured consumables and flavoured drinks', 0.024)]"
37,positive,30/1/21,"['like', 'brownie', 'mix', 'usually', 'use', 'low', 'fat', 'recipe', 'add', 'chocolate', 'chip', 'end', 'little', 'bit', 'buy', 'case']","[('Coffee and tea flavor', -0.198), ('Healthy and allergy-friendly snacks', 0.087), ('Coffee and its complements', -0.049), ('Locations and prices', -0.099), ('Snack/Protein Bars', 0.026), ('Flavoured cereal/nut/fruits bars', -0.215), ('Chocolate flavoured consumables and flavoured drinks', 0.074)]"
38,positive,13/2/21,"['brownie', 'good', 'flax', 'seed', 'texture', 'real', 'minimize', 'added', 'little', 'wheat', 'flour', 'splenda', 'cocoa', 'big', 'improvement', 'guest', 'complained', 'like', 'time', 'brownie']","[('Coffee and tea flavor', -0.088), ('Healthy and allergy-friendly snacks', 0.032), ('Coffee and its complements', -0.011), ('Locations and prices', -0.027), ('Snack/Protein Bars', -0.015), ('Flavoured cereal/nut/fruits bars', -0.016), ('Chocolate flavoured consumables and flavoured drinks', 0.004)]"
39,positive,15/1/21,"['got', 'order', 'day', 'ago', 'month', 'old', 'daughter', 'love', 'like', 'gerber', 'mini', 'veggie', 'cheaper', 'cost', 'good', 'bit', 'having', 'nutrient', 'filled', 'easy', 'travel', 'snack', 'worth', 'daughter', 'teeth', 'problem', 'eating', 'light', 'fluffy', 'flavor']","[('Coffee and tea flavor', -0.165), ('Healthy and allergy-friendly snacks', 0.07), ('Coffee and its complements', -0.031), ('Locations and prices', 0.017), ('Snack/Protein Bars', 0.023), ('Flavoured cereal/nut/fruits bars', 0.012), ('Chocolate flavoured consumables and flavoured drinks', -0.022)]"
40,positive,6/3/21,"['sure', 'speciality', 'store', 'area', 'stopped', 'carrying', 'usually', 'sold', 'cake', 'calorie', 'crunchy', 'goodnot', 'like', 'cardboard', 'taste', 'thicker', 'rice', 'cake', 'excellent', 'base', 'open', 'face', 'sandwich', 'use', 'piece', 'like', 'chip', 'dip', 'good', 'price', 'pack', 'month', 'expiration', 'use', 'date']","[('Coffee and tea flavor', -0.155), ('Healthy and allergy-friendly snacks', 0.055), ('Coffee and its complements', -0.027), ('Locations and prices', 0.037), ('Snack/Protein Bars', 0.021), ('Flavoured cereal/nut/fruits bars', -0.079), ('Chocolate flavoured consumables and flavoured drinks', 0.073)]"
41,positive,8/6/21,"['purchased', 'based', 'recommendation', 'rice', 'cake', 'delicious', 'thinner', 'usual', 'rice', 'cake', 'supermarket', 'densenot', 'air', 'covered', 'watching', 'weight', 'eat', 'peanut', 'butter', 'calorie', 'serving', 'v', 'regular', 'pb', 'taste', 'exactly', 'highly', 'recommend', 'rice', 'cake']","[('Coffee and tea flavor', -0.102), ('Healthy and allergy-friendly snacks', 0.055), ('Coffee and its complements', -0.026), ('Locations and prices', -0.034), ('Snack/Protein Bars', 0.034), ('Flavoured cereal/nut/fruits bars', 0.008), ('Chocolate flavoured consumables and flavoured drinks', 0.009)]"
42,positive,7/1/21,"['dry', 'dog', 'food', 'unhealthy', 'star', 'diamond', 'natural', 'great', 'food', 'afghan', 'spent', 'hour', 'research']","[('Coffee and tea flavor', -0.082), ('Healthy and allergy-friendly snacks', 0.068), ('Coffee and its complements', -0.038), ('Locations and prices', 0.087), ('Snack/Protein Bars', -0.045), ('Flavoured cereal/nut/fruits bars', 0.029), ('Chocolate flavoured consumables and flavoured drinks', -0.219)]"
